Employee_Name,EmpID,MarriedID,MaritalStatusID,Gender,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,DistanceFromHome,Age,Attrition,BusinessTravel,Education,EducationField,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
"Delarge, Alex",10306,0,0,Male,1,6,1,0,61568,0,3,Area Sales Manager,AL,36006,11/02/75,M ,Single,US Citizen,9/29/2014,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,PIP,1.93,3,0,1/30/2019,6,5,58,45,No,Travel_Rarely,3,Life Sciences,1,9724,18787,2,No,17,3,80,1,25,2,3,1,0,0,0
"Demita, Carla",10100,0,3,Male,5,5,3,0,58275,1,20,Production Technician II,MA,2343,02/25/51,F,Separated,US Citizen,4/4/2011,11/4/2015,more money,Voluntarily Terminated,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.62,5,0,5/6/2015,0,1,65,35,No,Travel_Frequently,3,Medical,1,2194,5868,4,No,13,3,80,1,5,2,2,3,2,1,2
"Desimone, Carl ",10310,1,1,Male,1,5,1,0,53189,0,19,Production Technician I,MA,2061,04/19/67,M ,Married,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Indeed,PIP,1.12,2,0,1/31/2019,4,9,82,36,Yes,Travel_Rarely,3,Medical,3,3388,21777,0,Yes,17,3,80,1,2,0,2,1,0,0,0
"DeVito, Tommy",10197,0,0,Female,1,3,3,0,96820,0,4,BI Developer,MA,2045,09/04/83,M ,Single,US Citizen,2/15/2017,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,3.01,5,7,1/23/2019,0,15,43,59,No,Travel_Frequently,1,Life Sciences,3,5473,24668,7,No,11,3,80,0,20,2,2,4,3,1,3
"Dickinson, Geoff ",10276,0,0,Male,1,5,3,0,51259,0,19,Production Technician I,MA,2180,11/15/82,M ,Single,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.3,4,0,2/19/2019,0,1,23,29,No,Travel_Rarely,3,Life Sciences,2,2703,4956,0,No,23,4,80,1,6,3,3,5,4,0,4
"Dietrich, Jenna  ",10304,0,0,Male,1,6,1,0,59231,0,3,Area Sales Manager,WA,98052,05/14/87,F,Single,US Citizen,2/20/2012,,N/A-StillEmployed,Active,Sales,John Smith,17,Website,PIP,2.3,1,0,1/29/2019,2,17,62,31,No,Travel_Rarely,4,Medical,2,2501,18775,1,No,17,3,80,0,1,4,3,1,1,1,0
"DiNocco, Lily ",10284,1,1,Male,1,5,2,0,61584,0,19,Production Technician I,MA,2351,12/02/78,F,Married,US Citizen,1/7/2013,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Indeed,Needs Improvement,3.88,4,0,1/18/2019,0,6,15,32,No,Travel_Rarely,3,Life Sciences,2,6220,7346,1,No,17,3,80,2,10,3,3,10,4,0,9
"Dobrin, Denisa  S",10207,0,0,Female,1,5,3,0,46335,0,19,Production Technician I,MA,2125,10/07/86,F,Single,US Citizen,4/2/2012,,N/A-StillEmployed,Active,Production       ,David Stanley,14,CareerBuilder,Fully Meets,3.4,5,0,2/19/2019,0,15,43,36,No,Travel_Rarely,3,Life Sciences,4,3038,22002,3,No,12,3,80,0,5,3,3,1,0,0,0
"Dolan, Linda",10133,1,1,Female,1,3,3,0,70621,0,14,IT Support,MA,2119,07/18/88,F,Married,US Citizen,1/5/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.11,4,6,2/25/2019,0,16,100,31,No,Travel_Rarely,4,Life Sciences,4,4424,20682,1,No,23,4,80,0,11,2,3,11,7,1,8
"Dougall, Eric",10028,0,0,Male,1,3,4,0,138888,0,13,IT Manager - Support,MA,1886,07/09/70,M ,Single,US Citizen,1/5/2014,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Exceeds,4.3,5,5,1/4/2019,0,4,62,35,No,Travel_Rarely,4,Marketing,1,4312,23016,0,No,14,3,80,0,16,2,3,15,13,2,8
"Driver, Elle",10006,0,0,Male,1,6,4,0,74241,0,3,Area Sales Manager,CA,90007,11/08/88,F,Single,US Citizen,1/10/2011,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Exceeds,4.77,5,0,1/27/2019,0,14,18,45,No,Travel_Rarely,4,Other,1,13245,15067,4,Yes,14,3,80,0,17,3,4,0,0,0,0
"Dunn, Amy  ",10105,0,0,Male,1,5,3,0,75188,0,18,Production Manager,MA,1731,11/28/73,F,Single,US Citizen,9/18/2014,,N/A-StillEmployed,Active,Production       ,Janet King,2,Google Search,Fully Meets,4.52,4,0,1/15/2019,0,4,76,37,No,Travel_Rarely,4,Medical,3,13664,25258,4,No,13,3,80,0,16,3,4,5,2,0,2
"Dunne, Amy",10211,1,1,Male,1,5,3,0,62514,0,19,Production Technician I,MA,1749,09/23/73,F,Married,US Citizen,4/26/2010,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,2.9,3,0,1/21/2019,0,6,83,46,No,Travel_Rarely,2,Medical,2,5021,10425,8,Yes,22,4,80,1,16,2,3,4,2,0,2
"Eaton, Marianne",10064,1,1,Male,5,5,3,0,60070,1,19,Production Technician I,MA,2343,09/05/91,F,Married,US Citizen,4/4/2011,6/6/2017,military,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,5,3,0,4/9/2017,0,7,67,30,No,Travel_Rarely,1,Life Sciences,4,5126,15998,1,Yes,12,3,80,2,10,1,2,10,8,3,0
"Engdahl, Jean",10247,0,0,Male,1,5,3,0,48888,0,19,Production Technician I,MA,2026,05/31/74,M ,Single,US Citizen,11/10/2014,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.7,5,0,2/13/2019,0,8,51,35,No,Travel_Rarely,3,Medical,3,2859,26278,1,No,18,3,80,0,6,3,3,6,4,0,4
"England, Rex",10235,1,1,Male,1,5,3,0,54285,0,19,Production Technician I,MA,2045,08/25/78,M ,Married,US Citizen,3/31/2014,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Employee Referral,Fully Meets,4.2,3,0,1/11/2019,0,3,83,55,No,Travel_Rarely,2,Life Sciences,4,10239,18092,3,No,14,3,80,1,24,4,3,1,0,1,0
"Erilus, Angela",10299,0,3,Female,1,5,1,0,56847,0,20,Production Technician II,MA,2133,08/25/89,F,Separated,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Indeed,PIP,3,1,0,2/25/2019,2,5,35,38,No,Non-Travel,3,Medical,4,5329,15717,7,Yes,12,3,80,3,17,3,3,13,11,1,9
"Estremera, Miguel",10280,0,0,Male,4,5,2,0,60340,1,19,Production Technician I,MA,2129,09/02/83,M ,Single,US Citizen,4/2/2012,9/27/2018,attendance,Terminated for Cause,Production       ,Michael Albert,22,Google Search,Needs Improvement,5,4,0,4/12/2018,5,16,25,34,No,Travel_Rarely,2,Medical,2,4325,17736,1,No,15,3,80,0,5,2,3,5,2,1,3
"Evensen, April",10296,0,0,Male,4,5,2,0,59124,1,19,Production Technician I,MA,2458,05/06/89,F,Single,US Citizen,2/17/2014,2/25/2018,"no-call, no-show",Terminated for Cause,Production       ,Elijiah Gray,16,Google Search,Needs Improvement,2.3,3,0,1/15/2017,5,19,27,56,No,Travel_Rarely,3,Life Sciences,4,7260,21698,4,No,11,3,80,0,37,3,2,6,4,0,2
"Exantus, Susan",10290,1,1,Male,4,4,2,0,99280,1,24,Software Engineer,MA,1749,05/15/87,F,Married,US Citizen,5/2/2011,6/5/2013,attendance,Terminated for Cause,Software Engineering,Alex Sweetwater,10,Indeed,Needs Improvement,2.1,5,4,8/10/2012,4,19,87,23,No,Travel_Rarely,1,Technical Degree,1,2322,9518,3,No,13,3,80,1,3,3,3,0,0,0,0
"Faller, Megan ",10263,1,1,Male,1,5,3,0,71776,0,20,Production Technician II,MA,1824,09/22/78,F,Married,US Citizen,7/7/2014,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,4.4,5,0,2/22/2019,0,17,21,51,No,Travel_Rarely,4,Life Sciences,4,2075,18725,3,No,23,4,80,2,10,4,3,4,2,0,3
"Fancett, Nicole",10136,0,0,Male,1,5,3,0,65902,0,20,Production Technician II,MA,2324,09/27/87,F,Single,US Citizen,2/17/2014,,N/A-StillEmployed,Active,Production       ,Webster Butler,,LinkedIn,Fully Meets,4,4,0,1/7/2019,0,7,8,30,No,Travel_Rarely,3,Life Sciences,4,4152,15830,1,No,19,3,80,3,11,3,3,11,10,10,8
"Ferguson, Susan",10189,1,1,Male,5,5,3,0,57748,1,19,Production Technician I,MA,2176,04/14/55,F,Married,US Citizen,11/7/2011,5/17/2016,military,Voluntarily Terminated,Production       ,Webster Butler,39,Google Search,Fully Meets,3.13,3,0,2/4/2016,0,16,24,46,Yes,Travel_Rarely,2,Medical,4,9619,13596,1,No,16,3,80,0,9,3,3,9,8,4,7
"Fernandes, Nilson  ",10308,1,1,Male,1,5,1,0,64057,0,19,Production Technician I,MA,2132,10/18/89,M ,Married,US Citizen,5/11/2015,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Indeed,PIP,1.56,5,0,1/3/2019,6,15,86,40,No,Travel_Frequently,4,Life Sciences,2,13503,14115,1,No,22,4,80,1,22,3,2,22,3,11,11
"Fett, Boba",10309,0,0,Male,1,3,1,0,53366,0,15,Network Engineer,MA,2138,06/18/87,M ,Single,US Citizen,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,LinkedIn,PIP,1.2,3,6,2/4/2019,3,2,38,51,No,Travel_Rarely,4,Marketing,4,5441,8423,0,Yes,22,4,80,0,11,2,1,10,7,1,0
"Fidelia,  Libby",10049,1,1,Female,1,5,3,0,58530,0,19,Production Technician I,MA,2155,03/16/81,F,Married,US Citizen,1/9/2012,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Google Search,Fully Meets,5,5,0,1/29/2019,0,19,98,30,No,Travel_Rarely,2,Medical,2,5209,19760,1,Yes,12,3,80,3,11,4,2,11,8,2,7
"Fitzpatrick, Michael  J",10093,0,0,Male,5,5,3,0,72609,1,20,Production Technician II,MA,2143,10/01/81,M ,Single,US Citizen,5/16/2011,6/24/2013,hours,Voluntarily Terminated,Production       ,Amy Dunn,11,Google Search,Fully Meets,4.76,5,0,4/5/2013,0,20,29,46,No,Travel_Frequently,3,Medical,1,10673,3142,2,Yes,13,3,80,1,21,5,2,10,9,9,5
"Foreman, Tanya",10163,1,1,Male,5,5,3,0,55965,1,20,Production Technician II,MA,2170,11/08/83,F,Married,US Citizen,4/4/2011,1/9/2013,career change,Voluntarily Terminated,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,3.66,3,0,1/7/2012,0,6,72,32,No,Travel_Rarely,4,Medical,3,5010,24301,1,No,16,3,80,0,12,0,3,11,8,5,7
"Forrest, Alex",10305,1,1,Female,1,6,3,0,70187,1,3,Area Sales Manager,MA,2330,07/07/75,M ,Married,US Citizen,9/29/2014,8/19/2018,Fatal attraction,Terminated for Cause,Sales,Lynn Daneault,21,Employee Referral,PIP,2,5,0,1/28/2019,4,7,16,54,No,Travel_Rarely,4,Technical Degree,3,13549,24001,9,No,12,3,80,1,16,5,1,4,3,0,3
"Foss, Jason",10015,0,0,Female,1,3,4,0,178000,0,12,IT Director,MA,1460,07/05/80,M ,Single,US Citizen,4/15/2011,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,5,Indeed,Exceeds,5,5,5,1/7/2019,0,15,45,24,No,Travel_Rarely,2,Other,3,4999,17519,0,No,21,4,80,1,4,2,2,3,2,0,2
"Foster-Baker, Amy",10080,1,1,Male,1,1,3,0,99351,0,26,Sr. Accountant,MA,2050,04/16/79,F,Married,US Citizen,1/5/2009,,N/A-StillEmployed,Active,Admin Offices,Board of Directors,9,Other,Fully Meets,5,3,2,2/8/2019,0,3,8,28,No,Non-Travel,3,Medical,3,4221,8863,1,No,15,3,80,0,5,3,4,5,4,0,4
"Fraval, Maruk ",10258,0,0,Male,1,6,3,0,67251,0,3,Area Sales Manager,CT,6050,08/28/63,M ,Single,US Citizen,9/6/2011,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,CareerBuilder,Fully Meets,4.3,3,0,1/27/2019,2,7,94,58,No,Travel_Rarely,4,Medical,3,13872,24409,0,No,13,3,80,0,38,1,2,37,10,1,8
"Galia, Lisa",10273,0,0,Male,1,3,3,0,65707,0,14,IT Support,CT,6040,07/06/68,F,Single,US Citizen,5/1/2010,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,6,LinkedIn,Fully Meets,4.7,4,5,2/1/2019,0,1,6,44,No,Non-Travel,3,Medical,2,2042,25043,4,No,12,3,80,1,17,3,4,3,2,1,2
"Garcia, Raul",10111,0,0,Male,1,5,3,0,52249,0,19,Production Technician I,MA,1905,09/15/85,M ,Single,US Citizen,3/30/2015,,N/A-StillEmployed,Active,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.5,3,0,2/18/2019,0,5,83,37,Yes,Travel_Rarely,4,Human Resources,1,2073,23648,4,Yes,22,4,80,0,7,3,3,3,2,0,2
"Gaul, Barbara",10257,0,0,Male,1,5,3,0,53171,0,19,Production Technician I,MA,2121,12/02/83,F,Single,US Citizen,5/16/2011,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.2,4,0,2/26/2019,0,12,91,32,No,Travel_Rarely,1,Life Sciences,1,2956,15178,1,No,13,3,80,0,1,2,3,1,0,0,0
"Gentry, Mildred",10159,1,1,Female,1,5,3,0,51337,0,19,Production Technician I,MA,2145,10/01/90,F,Married,US Citizen,3/30/2015,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,LinkedIn,Fully Meets,3.73,3,0,1/16/2019,0,19,63,20,Yes,Travel_Frequently,3,Life Sciences,4,2926,19783,1,Yes,18,3,80,0,1,5,3,1,0,1,0
"Gerke, Melisa",10122,0,2,Female,5,5,3,1,51505,1,19,Production Technician I,MA,2330,05/15/70,F,Divorced,US Citizen,11/7/2011,11/15/2016,hours,Voluntarily Terminated,Production       ,Elijiah Gray,16,Diversity Job Fair,Fully Meets,4.24,4,0,4/29/2016,0,2,47,34,No,Travel_Rarely,4,Other,3,4809,12482,1,No,14,3,80,0,16,3,3,16,13,2,10
"Gill, Whitney  ",10142,0,4,Male,4,6,3,0,59370,1,3,Area Sales Manager,OH,43050,07/10/71,F,Widowed,US Citizen,7/7/2014,9/5/2015,attendance,Terminated for Cause,Sales,John Smith,17,CareerBuilder,Fully Meets,3.97,4,0,1/15/2014,0,7,17,37,No,Non-Travel,2,Life Sciences,4,5163,15850,5,No,14,3,80,1,17,2,4,1,0,0,0
"Gilles, Alex",10283,1,1,Female,5,5,2,1,54933,1,19,Production Technician I,MA,2062,08/09/74,M ,Married,US Citizen,4/2/2012,6/25/2015,military,Voluntarily Terminated,Production       ,Webster Butler,39,Diversity Job Fair,Needs Improvement,3.97,4,0,1/20/2015,3,15,21,59,No,Non-Travel,4,Human Resources,4,18844,21922,9,No,21,4,80,1,30,3,3,3,2,2,2
"Girifalco, Evelyn",10018,0,0,Female,1,5,4,0,57815,0,19,Production Technician I,MA,2451,05/08/80,F,Single,US Citizen,9/29/2014,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,Indeed,Exceeds,3.9,4,0,2/7/2019,0,3,3,50,No,Travel_Frequently,3,Life Sciences,2,18172,9755,3,Yes,19,3,80,0,28,1,2,8,3,0,7
"Givens, Myriam",10255,0,0,Male,1,6,3,0,61555,0,3,Area Sales Manager,IN,46204,09/22/89,F,Single,US Citizen,2/16/2015,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Fully Meets,4.5,5,0,1/25/2019,0,20,51,25,Yes,Travel_Rarely,3,Marketing,3,5744,26959,1,Yes,11,3,80,0,6,1,3,6,4,0,3
"Goble, Taisha",10246,0,0,Male,4,3,3,0,114800,1,8,Database Administrator,MA,2127,10/23/71,F,Single,US Citizen,2/16/2015,3/15/2015,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.6,4,4,1/20/2015,0,10,30,25,No,Travel_Rarely,1,Medical,4,2889,26897,1,No,11,3,80,2,2,2,3,2,2,2,1
"Goeth, Amon",10228,1,1,Female,1,3,3,0,74679,0,14,IT Support,MA,2135,11/24/89,M ,Married,US Citizen,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,LinkedIn,Fully Meets,4.3,5,7,1/10/2019,0,20,14,22,No,Travel_Rarely,3,Medical,4,2871,23785,1,No,15,3,80,0,1,5,3,0,0,0,0
"Gold, Shenice  ",10243,0,0,Female,1,5,3,0,53018,0,19,Production Technician I,MA,2451,06/18/92,F,Single,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.3,5,0,2/18/2019,0,7,100,51,No,Travel_Frequently,4,Medical,1,7484,25796,3,No,20,4,80,0,23,1,2,13,12,12,8
"Gonzalez, Cayo",10031,0,2,Male,1,5,4,1,59892,0,19,Production Technician I,MA,2108,09/29/69,M ,Divorced,US Citizen,7/11/2011,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Diversity Job Fair,Exceeds,4.5,4,0,2/18/2019,0,1,46,34,Yes,Travel_Frequently,3,Life Sciences,3,6074,22887,1,Yes,24,4,80,0,9,3,3,9,7,0,6
"Gonzalez, Juan",10300,1,1,Female,5,5,1,1,68898,1,20,Production Technician II,MA,2128,10/12/64,M ,Married,US Citizen,4/26/2010,5/30/2011,career change,Voluntarily Terminated,Production       ,Brannon Miller,12,Diversity Job Fair,PIP,3,3,0,3/6/2011,3,10,94,54,No,Non-Travel,3,Human Resources,4,17328,13871,2,Yes,12,3,80,0,23,3,3,5,3,4,4
"Gonzalez, Maria",10101,0,3,Male,1,3,3,0,61242,0,14,IT Support,MA,2472,04/16/81,F,Separated,US Citizen,1/5/2015,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.61,4,5,1/28/2019,0,11,59,24,No,Travel_Rarely,1,Life Sciences,3,2774,13257,0,No,12,3,80,1,6,2,3,5,3,1,2
"Good, Susan",10237,1,1,Female,3,5,3,0,66825,0,20,Production Technician II,MA,1886,05/25/86,F,Married,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,David Stanley,14,LinkedIn,Fully Meets,4.6,3,0,2/7/2019,0,20,50,34,No,Travel_Rarely,4,Life Sciences,2,4505,15000,6,No,15,3,80,1,12,3,3,1,0,0,0
"Gordon, David",10051,1,1,Male,1,5,3,0,48285,0,19,Production Technician I,MA,2169,05/21/79,M ,Married,US Citizen,7/2/2012,,N/A-StillEmployed,Active,Production       ,David Stanley,14,LinkedIn,Fully Meets,5,3,0,1/14/2019,0,2,27,37,No,Travel_Rarely,3,Life Sciences,4,7428,14506,2,No,12,3,80,0,12,3,3,5,3,1,3
"Gosciminski, Phylicia  ",10218,0,3,Female,3,5,3,0,66149,0,20,Production Technician II,MA,1824,12/08/83,F,Separated,US Citizen,9/30/2013,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,4.4,5,0,2/21/2019,0,1,4,34,No,Travel_Rarely,3,Medical,1,11631,5615,2,No,12,3,80,0,14,6,3,11,10,5,8
"Goyal, Roxana",10256,1,1,Female,3,5,3,0,49256,0,19,Production Technician I,MA,1864,10/09/74,F,Married,US Citizen,8/19/2013,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,4.1,5,0,2/15/2019,0,3,74,36,No,Travel_Frequently,2,Technical Degree,4,9738,22952,0,No,14,3,80,1,10,6,3,9,7,2,8
"Gray, Elijiah  ",10098,0,2,Female,1,5,3,0,62957,0,18,Production Manager,MA,1752,07/11/81,M ,Divorced,US Citizen,6/2/2015,,N/A-StillEmployed,Active,Production       ,Janet King,2,Employee Referral,Fully Meets,4.63,3,0,1/4/2019,0,2,38,36,No,Travel_Rarely,2,Life Sciences,4,2835,2561,5,No,22,4,80,1,7,2,3,1,0,0,0
"Gross, Paula",10059,0,2,Male,5,5,3,0,63813,1,19,Production Technician I,MA,2176,05/21/83,F,Divorced,US Citizen,2/21/2011,1/11/2014,more money,Voluntarily Terminated,Production       ,Kelley Spirea,18,CareerBuilder,Fully Meets,5,5,0,6/3/2013,0,17,48,43,No,Travel_Frequently,2,Life Sciences,4,16959,19494,1,Yes,12,3,80,2,25,3,4,25,12,4,12
"Gruber, Hans",10234,1,1,Male,1,3,3,0,99020,0,4,BI Developer,MA,2134,06/30/89,M ,Married,US Citizen,4/20/2017,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,4.2,5,5,1/28/2019,0,8,4,30,No,Travel_Frequently,3,Life Sciences,3,2613,22310,1,No,25,4,80,3,10,2,2,10,7,0,9
"Guilianno, Mike",10109,0,0,Male,5,6,3,0,71707,1,3,Area Sales Manager,TN,37129,02/09/69,M ,Single,US Citizen,3/7/2012,10/31/2014,relocation out of area,Voluntarily Terminated,Sales,John Smith,17,LinkedIn,Fully Meets,4.5,5,0,2/1/2013,0,20,7,33,No,Non-Travel,2,Marketing,2,6146,15480,0,No,13,3,80,1,8,2,4,7,7,0,7
"Handschiegl, Joanne",10125,1,1,Female,1,5,3,0,54828,0,19,Production Technician I,MA,2127,03/23/77,F,Married,US Citizen,11/28/2011,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Google Search,Fully Meets,4.2,4,0,2/22/2019,0,13,55,56,Yes,Travel_Rarely,4,Life Sciences,2,4963,4510,9,Yes,18,3,80,3,7,2,3,5,4,4,3
"Hankard, Earnest",10074,0,0,Male,1,5,3,0,64246,0,20,Production Technician II,MA,2155,08/10/88,M ,Single,US Citizen,11/11/2013,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,5,3,0,1/8/2019,0,20,34,51,No,Travel_Rarely,3,Life Sciences,3,19537,6462,7,No,13,3,80,0,23,5,3,20,18,15,15
"Harrington, Christie ",10097,0,0,Male,5,5,3,0,52177,1,19,Production Technician I,MA,2324,08/18/52,F,Single,US Citizen,1/9/2012,12/15/2015,retiring,Voluntarily Terminated,Production       ,Webster Butler,39,CareerBuilder,Fully Meets,4.64,4,0,5/2/2015,0,8,57,31,Yes,Travel_Rarely,4,Life Sciences,3,6172,20739,4,Yes,18,3,80,0,12,3,2,7,7,7,7
"Harrison, Kara",10007,1,1,Female,1,5,4,0,62065,0,19,Production Technician I,MA,1886,05/02/74,F,Married,US Citizen,5/12/2014,,N/A-StillEmployed,Active,Production       ,Amy Dunn,11,CareerBuilder,Exceeds,4.76,4,0,2/15/2019,0,5,46,26,No,Travel_Rarely,3,Other,2,2368,23300,1,No,19,3,80,0,5,3,2,5,4,4,3
"Heitzman, Anthony",10129,0,0,Female,1,5,3,0,46998,0,19,Production Technician I,MA,2149,01/04/84,M ,Single,US Citizen,8/13/2012,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,4.17,4,0,2/11/2019,0,1,34,58,Yes,Travel_Rarely,4,Medical,4,10312,3465,1,No,12,3,80,1,40,3,2,40,10,15,6
"Hendrickson, Trina",10075,0,0,Male,5,5,3,0,68099,1,20,Production Technician II,MA,2021,08/27/72,F,Single,US Citizen,1/10/2011,6/18/2013,hours,Voluntarily Terminated,Production       ,Kelley Spirea,18,CareerBuilder,Fully Meets,5,3,0,1/30/2013,0,15,45,19,Yes,Travel_Rarely,1,Marketing,3,1675,26820,1,Yes,19,3,80,0,0,2,2,0,0,0,0
"Hitchcock, Alfred",10167,1,1,Male,1,6,3,0,70545,0,3,Area Sales Manager,NH,3062,09/14/88,M ,Married,US Citizen,8/18/2014,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,Fully Meets,3.6,5,0,1/30/2019,0,9,60,22,No,Travel_Rarely,1,Technical Degree,4,2523,19299,0,No,14,3,80,1,3,2,3,2,1,2,1
"Homberger, Adrienne  J",10195,1,1,Female,5,5,3,0,63478,1,20,Production Technician II,MA,2445,02/16/84,F,Married,Non-Citizen,8/15/2011,4/7/2012,relocation out of area,Voluntarily Terminated,Production       ,Michael Albert,30,Indeed,Fully Meets,3.03,5,0,3/5/2012,0,16,46,49,No,Travel_Rarely,4,Medical,1,6567,5549,1,No,14,3,80,0,16,2,2,15,11,5,11
"Horton, Jayne",10112,0,0,Female,1,3,3,0,97999,0,8,Database Administrator,MA,2493,02/21/84,F,Single,US Citizen,3/30/2015,,N/A-StillEmployed,Active,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.48,5,6,1/3/2019,0,4,60,43,No,Travel_Frequently,3,Medical,3,4739,16090,4,No,12,3,80,0,18,2,3,3,2,1,2
"Houlihan, Debra",10272,1,1,Female,1,6,3,0,180000,0,11,Director of Sales,RI,2908,03/17/66,F,Married,US Citizen,5/5/2014,,N/A-StillEmployed,Active,Sales,Janet King,2,LinkedIn,Fully Meets,4.5,4,0,1/21/2019,0,19,47,50,No,Travel_Frequently,3,Marketing,4,9208,6645,4,No,11,3,80,0,16,3,3,2,2,2,1
"Howard, Estelle",10182,1,1,Female,1,1,3,0,49920,1,2,Administrative Assistant,MA,2170,09/16/85,F,Married,US Citizen,2/16/2015,4/15/2015,"no-call, no-show",Terminated for Cause,Admin Offices,Brandon R. LeBlanc,1,Indeed,Fully Meets,3.24,3,4,4/15/2015,0,6,54,31,Yes,Travel_Rarely,3,Life Sciences,3,4559,24788,3,Yes,11,3,80,1,4,2,3,2,2,2,2
"Hudson, Jane",10248,0,0,Male,1,5,3,0,55425,0,19,Production Technician I,MA,2176,06/10/86,F,Single,US Citizen,2/20/2012,,N/A-StillEmployed,Active,Production       ,Ketsia Liebig,19,LinkedIn,Fully Meets,4.8,4,0,1/7/2019,0,4,18,41,No,Travel_Rarely,1,Life Sciences,3,8189,21196,3,Yes,13,3,80,1,12,2,3,9,7,0,7
"Hunts, Julissa",10201,0,0,Female,2,5,3,0,69340,0,20,Production Technician II,MA,2021,03/11/84,F,Single,US Citizen,6/6/2016,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,3,5,0,1/18/2019,0,4,85,26,No,Travel_Rarely,1,Life Sciences,3,2942,8916,1,No,23,4,80,1,8,3,3,8,7,5,7
"Hutter, Rosalie",10214,0,3,Male,2,5,3,0,64995,0,20,Production Technician II,MA,2351,05/07/92,F,Separated,US Citizen,6/5/2015,,N/A-StillEmployed,Active,Production       ,Webster Butler,,Indeed,Fully Meets,4.5,3,0,2/14/2019,0,6,85,36,No,Travel_Rarely,2,Medical,2,4941,2819,6,No,20,4,80,2,7,0,3,3,2,0,1
